scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb
bicycle,train,6999,,,,183.02539205551147,3661909,5.384178161621094
bicycle,train,29999,,,,1594.237622976303,6016475,8.833139419555664
bicycle,val,6999,24.064579010009766,0.6826210618019104,0.2991192638874054,0.06731658935546875,3661909,
bicycle,val,29999,25.6234130859375,0.7745631337165833,0.15765319764614105,0.11085138320922852,6016475,
bonsai,train,6999,,,,169.90029406547546,1145894,1.9436869621276855
bonsai,train,29999,,,,746.3686113357544,1212088,1.9663448333740234
bonsai,val,6999,29.727678298950195,0.9282169342041016,0.1453394740819931,0.07095732560028901,1145894,
bonsai,val,29999,32.30093002319336,0.947662353515625,0.11522196978330612,0.028870389268204972,1212088,
counter,train,6999,,,,201.70024752616882,1013888,1.6718692779541016
counter,train,29999,,,,845.5788753032684,1191946,1.8862943649291992
counter,val,6999,27.278305053710938,0.8876214027404785,0.19071979820728302,0.019338361422220864,1013888,
counter,val,29999,29.15504264831543,0.9162560105323792,0.1412019580602646,0.020420090357462565,1191946,
garden,train,6999,,,,232.34504747390747,3985149,5.87328577041626
garden,train,29999,,,,1544.1117494106293,5000422,7.363348960876465
garden,val,6999,26.633115768432617,0.8385116457939148,0.1178354024887085,0.04345661401748657,3985149,
garden,val,29999,27.7408447265625,0.8713492155075073,0.071507528424263,0.04804423451423645,5000422,
kitchen,train,6999,,,,216.79020404815674,1652194,2.544140338897705
kitchen,train,29999,,,,1061.5146250724792,1786894,2.7410359382629395
kitchen,val,6999,29.165157318115234,0.9095611572265625,0.1154966652393341,0.034136513301304405,1652194,
kitchen,val,29999,31.516550064086914,0.9333354234695435,0.08503710478544235,0.03966142790658134,1786894,
room,train,6999,,,,158.5868365764618,1103794,1.7949886322021484
room,train,29999,,,,804.7367157936096,1551186,2.349696159362793
room,val,6999,29.46407699584961,0.903164803981781,0.20100456476211548,0.035144335184341825,1103794,
room,val,29999,31.54180145263672,0.9270946979522705,0.15164335072040558,0.0544286630092523,1551186,
stump,train,6999,,,,184.2027850151062,3669411,5.386473655700684
stump,train,29999,,,,1267.4975786209106,4687290,6.878872871398926
stump,val,6999,25.996070861816406,0.737372636795044,0.23528318107128143,0.10110124945640564,3669411,
stump,val,29999,26.91632080078125,0.7823724746704102,0.14418241381645203,0.11627201735973358,4687290,
