scene,config,gpu,psnr,ssim,lpips,ellipse_s,num_gs_M,train_min,delta_psnr
bonsai,twoq+prefetch+efc (ours),A6000,32.5,0.95,0.1078,0.02,1.73,18.2,+0.44
bonsai,gsplat-30k (official),TITAN RTX,32.06,0.941,0.132,,1.25,23.7,—
counter,twoq+prefetch+efc (ours),A6000,29.21,0.9194,0.133,0.04,1.67,18.1,+0.19
counter,gsplat-30k (official),TITAN RTX,29.02,0.907,0.154,,1.21,27.0,—
room,twoq+prefetch+efc (ours),A6000,31.52,0.9293,0.1413,0.04,1.98,18.6,+0.16
room,gsplat-30k (official),TITAN RTX,31.36,0.918,0.164,,1.59,28.5,—
kitchen,twoq+prefetch+efc (ours),A6000,31.57,0.9353,0.0809,0.081,2.78,19.9,+0.41
kitchen,gsplat-30k (official),TITAN RTX,31.16,0.926,0.094,,1.79,33.7,—
stump,twoq+prefetch+efc (ours),A6000,27.06,0.7879,0.1297,0.189,6.68,26.8,+0.53
stump,gsplat-30k (official),TITAN RTX,26.53,0.768,0.153,,4.81,38.3,—
garden,twoq+prefetch+efc (ours),A6000,27.76,0.8763,0.065,0.091,6.87,27.3,+0.44
garden,gsplat-30k (official),TITAN RTX,27.32,0.865,0.075,,5.84,50.2,—
bicycle,twoq+prefetch+efc (ours),A6000,25.67,0.783,0.138,0.333,7.28,27.9,+0.45
bicycle,gsplat-30k (official),TITAN RTX,25.22,0.764,0.172,,6.26,49.4,—
